"id","bug.id","treatment","temp.avg","temp.var","hs.temp","hs.num","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","mass.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","mass.4","date.5","mass.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttem.w","ttecl","dt.coc","mass.end.all","class","ttend.all","ttwand"
31,"25.10_para_40.1_31","para",25,10,40,1,NA,"1/28/18","2/2/18",10:49:00,1,NA,"2/2/18",39.88,"2/2/18",10:52:00,13:00:00,"2:11","2/2/18",19:10:00,"2/6/18",265.13,"2/11/18",1002.17,"2/16/18",5,0,1886.98,18,15,3,"2/22/18",14,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,33,37,42,47,53,0,NA,"0",10.8166666666667,10.8666666666667,13,2.18333333333333,19.1666666666667,8.3,0.345833333333333,5,4,9,5,14,19,NA,14,20,6,1886.98,"em",19,NA
33,"25.10_para_40.2_33","para",25,10,40,2,NA,"1/28/18","2/2/18",11:19:00,2,NA,"2/2/18",76.55,"2/2/18",11:24:00,13:00:00,"1:41","2/3/18",18:05:00,"2/6/18",143.38,"2/12/18",477.06,"2/16/18",5,0,843.95,23,16,7,"2/22/18",14,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,34,37,43,47,53,0,NA,"0",11.3166666666667,11.4,13,1.68333333333333,18.0833333333333,30.6833333333333,1.27847222222222,5,4,9,6,15,19,NA,14,20,6,843.95,"em",19,NA
34,"25.10_para_42.2_34","para",25,10,42,2,NA,"1/28/18","2/2/18",11:32:00,1,NA,"2/2/18",43.41,"2/2/18",11:36:00,13:00:00,"1:28","2/3/18",18:05:00,"2/5/18",241.78,"2/8/18",1298.73,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"2/14/18","mass 5 taken in pm. wandered 2/14/18--put in pupa box to see if it pupates. pupated 2/20/18.. frozen as pupa for dissecton",NA,0,28,33,33,33,34,36,39,0,NA,0,45,"0",11.5333333333333,11.6,13,1.46666666666667,18.0833333333333,30.4833333333333,1.27013888888889,5,3,8,3,11,NA,NA,NA,NA,NA,NA,"wand",17,17
35,"25.10_para_40.3_35","para",25,10,40,3,NA,"1/28/18","2/2/18",11:44:00,1,NA,"2/2/18",52.93,"2/2/18",11:49:00,13:00:00,"1:16","2/4/18",19:30:00,"2/5/18",213.29,"2/11/18",1618.69,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/25/18",4849.89,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,35,36,42,0,NA,56,NA,"0",11.7333333333333,11.8166666666667,13,1.26666666666667,19.5,55.6833333333333,2.32013888888889,5,3,8,6,14,NA,28,NA,NA,NA,4849.89,"mongo",28,NA
36,"25.10_para_42.3_36","para",25,10,42,3,NA,"1/28/18","2/2/18",12:02:00,1,NA,"2/2/18",36.2,"2/2/18",12:08:00,13:00:00,"0:58","2/4/18",19:30:00,"2/6/18",225.05,"2/11/18",2192.31,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/25/18",13919.83,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,35,37,42,0,NA,56,NA,"0",12.0333333333333,12.1333333333333,13,0.966666666666667,19.5,55.3666666666667,2.30694444444444,5,4,9,5,14,NA,28,NA,NA,NA,13919.83,"mongo",28,NA
38,"25.10_para_42.4_38","para",25,10,42,4,NA,"1/28/18","2/2/18",12:30:00,1,NA,"2/2/18",61.08,"2/2/18",12:35:00,13:00:00,"0:30","2/5/18",19:20:00,"2/5/18",290.08,"2/9/18",1274.89,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",16073.54,1,1,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,36,36,40,0,NA,54,NA,"0",12.5,12.5833333333333,13,0.5,19.3333333333333,78.75,3.28125,5,3,8,4,12,NA,26,NA,NA,NA,16073.54,"mongo",26,NA
40,"25.10_para_42.1_40","para",25,10,42,1,NA,"1/28/18","2/2/18",11:01:00,1,NA,"2/2/18",55.72,"2/2/18",11:07:00,13:00:00,"1:59","2/2/18",19:10:00,"2/6/18",302.05,"2/11/18",1401.94,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/25/18",2572.94,1,0,5,NA,NA,NA,0,NA,NA,NA,"horn bled at ovp. mass 4 taken in pm",NA,0,28,33,33,33,33,37,42,0,NA,56,NA,"0",11.0166666666667,11.1166666666667,13,1.98333333333333,19.1666666666667,8.05,0.335416666666667,5,4,9,5,14,NA,28,NA,NA,NA,2572.94,"mongo",28,NA
41,"25.10_para_40.2_41","para",25,10,40,2,NA,"1/28/18","2/2/18",11:18:00,1,NA,"2/2/18",29.88,"2/2/18",11:24:00,13:00:00,"1:42","2/3/18",18:05:00,"2/7/18",117.33,"2/11/18",448.51,"2/16/18",5,0,1042.89,21,21,0,"2/22/18",21,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,28,33,33,33,34,38,42,47,53,0,NA,"0",11.3,11.4,13,1.7,18.0833333333333,30.6833333333333,1.27847222222222,5,5,10,4,14,19,NA,14,20,6,1042.89,"em",19,NA
42,"25.10_para_42.2_42","para",25,10,42,2,NA,"1/28/18","2/2/18",11:32:00,1,NA,"2/2/18",44.93,"2/2/18",11:36:00,13:00:00,"1:28","2/3/18",18:05:00,"2/7/18",134.04,"2/12/18",677.71,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,1,6145.24,"2/28/18","mass 4 taken in pm. wandered 2/20/18, weight = 6145.24, put in pupation box to see if it pupates. pupated 2/28/18. frozen as pupa for dissecton",NA,0,28,33,33,33,34,38,43,0,NA,0,59,"0",11.5333333333333,11.6,13,1.46666666666667,18.0833333333333,30.4833333333333,1.27013888888889,5,5,10,5,15,NA,NA,NA,NA,NA,6145.24,"wand",31,31
43,"25.10_para_40.3_43","para",25,10,40,3,NA,"1/28/18","2/2/18",11:43:00,1,NA,"2/2/18",56.94,"2/2/18",11:49:00,13:00:00,"1:17","2/4/18",19:30:00,"2/5/18",278.95,"2/9/18",1295.82,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/23/18",8974.76,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,28,33,33,33,35,36,40,0,NA,54,NA,"0",11.7166666666667,11.8166666666667,13,1.28333333333333,19.5,55.6833333333333,2.32013888888889,5,3,8,4,12,NA,26,NA,NA,NA,8974.76,"mongo",26,NA
