"id","hs.temp","hs.num","instar","bug.id","treatment","temp.avg","temp.var","date.died","date.hatch","date.ovp","time.ovp","num.ovp","suc.ovp","date.3","date.in.hs","time.in.hs","time.hs","time.ths1.ovp","date.out.hs","time.out.hs","date.4","date.5","date.em","instar.em","bled.em","mass.48em","num.em","num.coc","num.fail.spin","date.ecl","num.ecl","num.unem","load","date.end","mass.end","mongo.age","mongo.mass","instar.end","diss.wasp","diss.wasp.stage","mel","wand","pup","mass.wand","date.wand","gen.notes","diss.notes","date.died.j","date.hatch.j","date.ovp.j","date.3.j","date.in.hs.j","date.out.hs.j","date.4.j","date.5.j","date.em.j","date.ecl.j","date.end.j","date.wand.j","died","time.ovp.dec","time.in.hs.dec","time.hs.dec","time.ths1.ovp.dec","time.out.hs.dec","hr.hs","day.hs","tt3","inst3","tt4","inst4","tt5","ttem","ttend","ttem.w","ttecl","dt.coc","class","ttend.all","ttwand","mass","day.age"
108,42,3,"4","25.10_para_42.3_108","para",25,10,NA,"1/29/18","2/4/18",10:38:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:22","2/6/18",21:00:00,"2/8/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",17448.66,1,1,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,29,35,35,35,37,39,43,0,NA,57,NA,"0",10.6333333333333,10.85,13,2.36666666666667,21,58.15,2.42291666666667,6,4,10,4,14,NA,28,NA,NA,NA,"mongo",28,NA,291.26,10
108,42,3,"5","25.10_para_42.3_108","para",25,10,NA,"1/29/18","2/4/18",10:38:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:22","2/6/18",21:00:00,"2/8/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",17448.66,1,1,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,29,35,35,35,37,39,43,0,NA,57,NA,"0",10.6333333333333,10.85,13,2.36666666666667,21,58.15,2.42291666666667,6,4,10,4,14,NA,28,NA,NA,NA,"mongo",28,NA,1510.51,14
108,42,3,"end.all","25.10_para_42.3_108","para",25,10,NA,"1/29/18","2/4/18",10:38:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:22","2/6/18",21:00:00,"2/8/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",17448.66,1,1,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm",NA,0,29,35,35,35,37,39,43,0,NA,57,NA,"0",10.6333333333333,10.85,13,2.36666666666667,21,58.15,2.42291666666667,6,4,10,4,14,NA,28,NA,NA,NA,"mongo",28,NA,17448.66,28
109,42,3,"3","25.10_para_42.3_109","para",25,10,NA,"1/29/18","2/4/18",10:37:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:23","2/6/18",21:00:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",12755.03,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,29,35,35,35,37,38,43,0,NA,57,NA,"0",10.6166666666667,10.85,13,2.38333333333333,21,58.15,2.42291666666667,6,3,9,5,14,NA,28,NA,NA,NA,"mongo",28,NA,40.76,6
109,42,3,"4","25.10_para_42.3_109","para",25,10,NA,"1/29/18","2/4/18",10:37:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:23","2/6/18",21:00:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",12755.03,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,29,35,35,35,37,38,43,0,NA,57,NA,"0",10.6166666666667,10.85,13,2.38333333333333,21,58.15,2.42291666666667,6,3,9,5,14,NA,28,NA,NA,NA,"mongo",28,NA,241.73,9
109,42,3,"5","25.10_para_42.3_109","para",25,10,NA,"1/29/18","2/4/18",10:37:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:23","2/6/18",21:00:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",12755.03,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,29,35,35,35,37,38,43,0,NA,57,NA,"0",10.6166666666667,10.85,13,2.38333333333333,21,58.15,2.42291666666667,6,3,9,5,14,NA,28,NA,NA,NA,"mongo",28,NA,1505.3,14
109,42,3,"end.all","25.10_para_42.3_109","para",25,10,NA,"1/29/18","2/4/18",10:37:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:23","2/6/18",21:00:00,"2/7/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",12755.03,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 taken in pm",NA,0,29,35,35,35,37,38,43,0,NA,57,NA,"0",10.6166666666667,10.85,13,2.38333333333333,21,58.15,2.42291666666667,6,3,9,5,14,NA,28,NA,NA,NA,"mongo",28,NA,12755.03,28
110,40,2,"3","25.10_para_40.2_110","para",25,10,NA,"1/29/18","2/4/18",10:50:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:10","2/5/18",19:20:00,"2/8/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",3072.39,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm.",NA,0,29,35,35,35,36,39,43,0,NA,57,NA,"0",10.8333333333333,10.85,13,2.16666666666667,19.3333333333333,32.4833333333333,1.35347222222222,6,4,10,4,14,NA,28,NA,NA,NA,"mongo",28,NA,41.34,6
110,40,2,"4","25.10_para_40.2_110","para",25,10,NA,"1/29/18","2/4/18",10:50:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:10","2/5/18",19:20:00,"2/8/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",3072.39,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm.",NA,0,29,35,35,35,36,39,43,0,NA,57,NA,"0",10.8333333333333,10.85,13,2.16666666666667,19.3333333333333,32.4833333333333,1.35347222222222,6,4,10,4,14,NA,28,NA,NA,NA,"mongo",28,NA,366.62,10
110,40,2,"5","25.10_para_40.2_110","para",25,10,NA,"1/29/18","2/4/18",10:50:00,1,NA,"2/4/18","2/4/18",10:51:00,13:00:00,"2:10","2/5/18",19:20:00,"2/8/18","2/12/18",NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,"2/26/18",3072.39,1,0,5,NA,NA,NA,0,NA,NA,NA,"mass 4 and 5 taken in pm.",NA,0,29,35,35,35,36,39,43,0,NA,57,NA,"0",10.8333333333333,10.85,13,2.16666666666667,19.3333333333333,32.4833333333333,1.35347222222222,6,4,10,4,14,NA,28,NA,NA,NA,"mongo",28,NA,1544.21,14
