"bug.id","treatment","temp.avg","temp.var","instar","day.age","mass.wand","mass.48em","num.ovp","suc.ovp","instar.em","bled.em","num.em","num.coc","num.fail.spin","num.ecl","num.unem","load","date.laid.j","date.hatch.j","date.died.j","date.3.j","date.4.j","date.5.j","date.wand.j","date.ovp.j","date.em.j","date.ecl.j","waspdev.tot","waspdev.int","stsp.llsurv","stsp.pupsurv","tot.elsurv","tot.llsurv","tot.surv","timeto3","timeto4","timeto5","int3","ttwand","ttem","date.coll.j","coll.loc","pop","diet","end","int5","use","int4","ttend","mass"
"25.0_c_18","control","25","0","5",14,8545.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,19,NA,NA,NA,"lab","col",172,5,1,3,19,1161.1
"25.0_c_18","control","25","0","end",19,8545.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,159,164,167,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,11,14,5,19,NA,NA,NA,"lab","col",172,5,1,3,19,8545.22
"25.0_c_19","control","25","0","3",5,10618.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,164,168,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,14,5,19,NA,NA,NA,"lab","col",173,5,1,4,19,43.42
"25.0_c_19","control","25","0","4",10,10618.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,164,168,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,14,5,19,NA,NA,NA,"lab","col",173,5,1,4,19,212.59
"25.0_c_19","control","25","0","5",14,10618.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,164,168,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,14,5,19,NA,NA,NA,"lab","col",173,5,1,4,19,1679.11
"25.0_c_19","control","25","0","end",19,10618.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,164,168,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,14,5,19,NA,NA,NA,"lab","col",173,5,1,4,19,10618.34
"25.0_c_2","control","25","0","3",4,10221.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,15,NA,NA,NA,"lab","col",168,4,1,4,15,51.09
"25.0_c_2","control","25","0","4",7,10221.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,15,NA,NA,NA,"lab","col",168,4,1,4,15,416.44
"25.0_c_2","control","25","0","5",11,10221.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,15,NA,NA,NA,"lab","col",168,4,1,4,15,2958.83
"25.0_c_2","control","25","0","end",15,10221.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,157,160,164,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,7,11,3,15,NA,NA,NA,"lab","col",168,4,1,4,15,10221.5
"25.0_c_20","control","25","0","3",5,9994.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",169,4,1,3,15,55.58
"25.0_c_20","control","25","0","4",8,9994.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",169,4,1,3,15,367.92
"25.0_c_20","control","25","0","5",11,9994.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",169,4,1,3,15,1798.02
"25.0_c_20","control","25","0","end",15,9994.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,165,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,11,3,15,NA,NA,NA,"lab","col",169,4,1,3,15,9994.78
"25.0_c_21","control","25","0","3",5,10805.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,69.54
"25.0_c_21","control","25","0","4",8,10805.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,346.41
"25.0_c_21","control","25","0","5",12,10805.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,2054.92
"25.0_c_21","control","25","0","end",16,10805.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,10805.86
"25.0_c_22","control","25","0","3",5,11081.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,47.41
"25.0_c_22","control","25","0","4",8,11081.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,182.33
"25.0_c_22","control","25","0","5",12,11081.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,1697.31
"25.0_c_22","control","25","0","end",16,11081.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,11081.77
"25.0_c_23","control","25","0","3",5,9845.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,77.65
"25.0_c_23","control","25","0","4",8,9845.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,NA,159,162,166,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,8,12,3,16,NA,NA,NA,"lab","col",170,4,1,4,16,308.28
